COD_ID;LGRD;BRR;CLAS_SUB;CNAE;ARE_LOC;POINT_X;POINT_Y
3003507578;RUA JOAO LUIZ 223;CENTRO;RE2;99.99-2/9;UB;-45.12871855;-20.90523356
3004339642;RUA ANTONIO F DE BASTOS 291;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12818043;-20.90567671
3005731528;RUA MARIANO MARTINS VIANA 361;SEVILHA;RE1;99.99-2/9;UB;-45.12977924;-20.9086573
3005743160;RUA JOSEFA B DOS SANTOS 3;SEVILHA;RE1;99.99-2/9;UB;-45.12989257;-20.90626274
3005929764;RUA GERALDINHO S REZENDE 104;SEVILHA;RE2;99.99-2/9;UB;-45.13089438;-20.90827695
3006857106;RUA DUCA FAGUNDES 32;SEVILHA;RE1;99.99-2/9;UB;-45.1294985;-20.90647086
3007427943;RUA LICERIO ANTONIO SANTOS 55;JARDIM DONA MARIANA;RE1;99.99-2/9;UB;-45.12598926;-20.90718731
3007453423;RUA REINALDO S LEOCADIO 65;SEVILHA;RE2;99.99-2/9;UB;-45.12998823;-20.90568438
3011565194;RUA DOURADO 99;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13065348;-20.90769884
3011822267;RUA SURUBIM 144;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13098009;-20.90731006
3012413078;RUA ANTONIO PURCINO PINTO 7;SEVILHA;CO1;47.22-9/4;UB;-45.13008515;-20.90656078
3003942813;RUA EVARISTO CARDOSO 466;CENTRO;RE2;99.99-2/9;UB;-45.1240249;-20.90390878
3013180035;AV CAMBRAIA NASCIMENTO 120;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12431279;-20.90319474
3001320796;AV NAGIB GIBRAN 382;CENTRO;RE1;99.99-2/9;UB;-45.12935052;-20.90211575
3001321177;RUA EVARISTO CARDOSO 145;CENTRO;RE1;99.99-2/9;UB;-45.12705161;-20.90120487
